Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo
More Than You Know,Eddie Vedder,"acoustic rock,permanent wave,rock",0.322,0.988,0.596,0.382,-11.137,0.143,0.0389,0.118,112.501
Goodbye,Eddie Vedder,"acoustic rock,permanent wave,rock",0.295,0.992,0.534,0.269,-11.696,0.533,0.0416,0.0917,101.71
Broken Heart,Eddie Vedder,"acoustic rock,permanent wave,rock",0.43,0.991,0.482,0.377,-9.524,0.6,0.0351,0.128,132.904
Satellite,Eddie Vedder,"acoustic rock,permanent wave,rock",0.38,0.914,0.523,0.227,-8.753,0.000109,0.0359,0.112,119.453
Longing To Belong,Eddie Vedder,"acoustic rock,permanent wave,rock",0.32,0.97,0.463,0.289,-11.306,0.000114,0.0371,0.0979,115.081
Hey Fahkah,Eddie Vedder,"acoustic rock,permanent wave,rock",0.299,0.961,0,0,-17.325,0.929,0,0.0817,0
You're True,Eddie Vedder,"acoustic rock,permanent wave,rock",0.435,0.908,0.542,0.322,-8.308,0.000924,0.0393,0.0829,122.036
Light Today,Eddie Vedder,"acoustic rock,permanent wave,rock",0.547,0.967,0.6,0.291,-11.165,0.538,0.0446,0.953,127.286
Sleepless Nights,Eddie Vedder,"acoustic rock,permanent wave,rock",0.272,0.969,0.616,0.24,-8.115,0,0.0321,0.124,107.778
Once In A While,Eddie Vedder,"acoustic rock,permanent wave,rock",0.341,0.98,0.561,0.568,-8.73,4.27e-06,0.0362,0.11,116.222
Waving Palms,Eddie Vedder,"acoustic rock,permanent wave,rock",0.154,0.995,0.372,0.881,-18.589,0.901,0.0737,0.0694,171.256
Tonight You Belong To Me,Eddie Vedder,"acoustic rock,permanent wave,rock",0.174,0.991,0.639,0.606,-10.888,0.00261,0.0495,0.102,138.153
Dream A Little Dream,Eddie Vedder,"acoustic rock,permanent wave,rock",0.156,0.967,0.549,0.624,-19.883,1.59e-05,0.0776,0.26,95.25
Prologue,Pedro Bromfman,latin soundtrack,0.504,0.148,0.4,0.136,-14.677,0.913,0.0443,0.335,80.183
Tuyo,Rodrigo Amarante,nova mpb,0.422,0.474,0.72,0.546,-13.338,0.0847,0.069,0.155,112.219
Colombian Army,Pedro Bromfman,latin soundtrack,0.124,0.509,0.599,0.0861,-21.072,0.878,0.0442,0.112,99.973
No Amnesty,Pedro Bromfman,latin soundtrack,0.0151,0.581,0.12,0.0359,-27.635,0.881,0.048,0.131,87.987
Cockroach and Pinochet,Pedro Bromfman,latin soundtrack,0.293,0.904,0.641,0.648,-19.051,0.914,0.0325,0.107,104.138
Meet Gacha and Escobar,Pedro Bromfman,latin soundtrack,0.481,0.492,0.28,0.142,-14.417,0.531,0.0473,0.0806,96.012
Easy Money,Pedro Bromfman,latin soundtrack,0.31,0.129,0.822,0.769,-14.611,0.929,0.167,0.103,89.982
Agent Murphy,Pedro Bromfman,latin soundtrack,0.0746,0.0663,0.272,0.0389,-21.247,0.819,0.0392,0.317,78.047
The Perfect Product,Pedro Bromfman,latin soundtrack,0.348,0.00121,0.703,0.0385,-15.187,0.442,0.466,0.106,80.297
Cocaine Labs,Pedro Bromfman,latin soundtrack,0.0962,0.258,0.212,0.0379,-23.45,0.934,0.0396,0.109,138.169
Colonel Carrillo,Pedro Bromfman,latin soundtrack,0.306,0.0608,0.672,0.808,-19.22,0.866,0.0289,0.38,160.064
Pablo's Sword,Pedro Bromfman,latin soundtrack,0.135,0.604,0.16,0.0517,-19.337,0.901,0.0331,0.236,79.866
Palace of Justice,Pedro Bromfman,latin soundtrack,0.319,0.0352,0.216,0.0499,-18.73,0.653,0.0374,0.0844,151.942
Baby Girl,Pedro Bromfman,latin soundtrack,0.0849,0.33,0.348,0.115,-21.468,0.944,0.0451,0.101,74.93
Urban Chase,Pedro Bromfman,latin soundtrack,0.699,0.158,0.444,0.26,-14.2,0.619,0.0551,0.117,108.021
Flying Drugs,Pedro Bromfman,latin soundtrack,0.531,0.0869,0.664,0.53,-14.749,0.663,0.0654,0.148,160.122
Murphy's First Kill,Pedro Bromfman,latin soundtrack,0.0906,0.617,0.194,0.0392,-23.502,0.905,0.0382,0.082,139.672
Gacha's Troubles,Pedro Bromfman,latin soundtrack,0.264,0.442,0.23,0.0345,-21.057,0.912,0.0398,0.107,94.908
Kidnapped,Pedro Bromfman,latin soundtrack,0.626,0.141,0.299,0.0317,-15.634,0.436,0.09,0.271,101.039
The Spaniard,Pedro Bromfman,latin soundtrack,0.316,0.39,0.43,0.326,-16.194,0.436,0.0341,0.153,111.852
President Gaviria,Pedro Bromfman,latin soundtrack,0.215,0.632,0.296,0.095,-19.564,0.873,0.0301,0.339,83.063
Recruiting Soldiers,Pedro Bromfman,latin soundtrack,0.333,0.374,0.597,0.353,-16.069,0.178,0.0381,0.133,86.896
The Tax,Pedro Bromfman,latin soundtrack,0.0487,0.639,0.187,0.0352,-25.901,0.933,0.0323,0.142,73.886
